epoch	train error	test error	
 1.7800e+02	 1.2215e-03	 1.1621e-03	
 1.7900e+02	 1.3642e-03	 1.8055e-03	
 1.8000e+02	 1.7467e-03	 2.9685e-03	
 1.8100e+02	 3.0092e-03	 2.9646e-03	
 1.8200e+02	 2.9327e-03	 2.1940e-03	
 1.8300e+02	 2.8298e-03	 9.1833e-04	
 1.8400e+02	 1.1928e-03	 1.4982e-03	
 1.8500e+02	 1.6990e-03	 9.8783e-04	
 1.8600e+02	 1.4547e-03	 9.5902e-04	
 1.8700e+02	 1.2558e-03	 9.8333e-04	
 1.8800e+02	 1.2336e-03	 8.6970e-04	
 1.8900e+02	 1.2166e-03	 8.1778e-04	
 1.9000e+02	 1.1239e-03	 7.8756e-04	
 1.9100e+02	 1.0718e-03	 7.4005e-04	
 1.9200e+02	 1.0371e-03	 6.8948e-04	
 1.9300e+02	 9.8092e-04	 6.5693e-04	
 1.9400e+02	 9.3454e-04	 6.1676e-04	
 1.9500e+02	 8.9595e-04	 5.7799e-04	
 1.9600e+02	 8.4939e-04	 5.5069e-04	
 1.9700e+02	 8.1533e-04	 5.1480e-04	
 1.9800e+02	 7.7563e-04	 4.8894e-04	
 1.9900e+02	 7.4277e-04	 4.5819e-04	
 2.0000e+02	 7.0587e-04	 4.3315e-04	
 2.0100e+02	 6.7537e-04	 4.0493e-04	
 2.0200e+02	 6.3802e-04	 3.8094e-04	
 2.0300e+02	 6.1033e-04	 3.5351e-04	
 2.0400e+02	 5.6897e-04	 3.3086e-04	
 2.0500e+02	 5.4777e-04	 3.0380e-04	
 2.0600e+02	 4.9495e-04	 2.8347e-04	
 2.0700e+02	 4.9486e-04	 2.5877e-04	
 2.0800e+02	 4.0853e-04	 2.4341e-04	
 2.0900e+02	 4.8731e-04	 2.3678e-04	
 2.1000e+02	 3.0639e-04	 2.4357e-04	
 2.1100e+02	 7.5646e-04	 3.8640e-04	
 2.1200e+02	 5.4612e-04	 6.7506e-04	
 2.1300e+02	 3.6345e-03	 2.1764e-03	
 2.1400e+02	 8.5074e-03	 3.7794e-03	
 2.1500e+02	 2.9068e-02	 6.6289e-03	
 2.1600e+02	 4.5455e-02	 1.5688e-02	
 2.1700e+02	 3.2212e-03	 5.8483e-03	
 2.1800e+02	 5.4946e-03	 1.7037e-03	
 2.1900e+02	 5.6992e-03	 3.3557e-03	
 2.2000e+02	 8.9706e-04	 1.8920e-03	
 2.2100e+02	 3.0053e-03	 1.3433e-03	
 2.2200e+02	 2.0706e-03	 1.6283e-03	
 2.2300e+02	 1.3755e-03	 1.2281e-03	
 2.2400e+02	 1.6476e-03	 1.2087e-03	
 2.2500e+02	 1.5573e-03	 1.1709e-03	
 2.2600e+02	 1.3694e-03	 1.1103e-03	
 2.2700e+02	 1.3448e-03	 1.0726e-03	
 2.2800e+02	 1.3728e-03	 1.0486e-03	
 2.2900e+02	 1.2953e-03	 1.0428e-03	
 2.3000e+02	 1.2726e-03	 1.0137e-03	
 2.3100e+02	 1.2832e-03	 1.0086e-03	
 2.3200e+02	 1.2632e-03	 1.0053e-03	
 2.3300e+02	 1.2465e-03	 9.9736e-04	
 2.3400e+02	 1.2515e-03	 9.9307e-04	
 2.3500e+02	 1.2480e-03	 9.9111e-04	
 2.3600e+02	 1.2383e-03	 9.8649e-04	
 2.3700e+02	 1.2369e-03	 9.8206e-04	
 2.3800e+02	 1.2340e-03	 9.7865e-04	
